response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
20.0092,1.3416,0.1167,0.0041,3.5523,15.1113,200,0.0565
20.0092,1.3431,0.1168,0.0046,3.3048,15.3567,200,0.0566
20.0092,1.3681,0.1169,0.0036,4.6875,13.9501,200,0.0566
20.0093,1.3678,0.1170,0.0036,3.5619,15.0758,200,0.0567
20.0093,1.4013,0.1171,0.0023,3.3666,15.2391,200,0.0567
20.0093,1.3457,0.1172,0.0033,3.2927,15.3676,200,0.0568
20.0093,1.3493,0.1187,0.0138,3.4639,15.1823,200,0.0570
20.0093,1.3662,0.1194,0.0038,3.5677,15.0716,200,0.0570
20.0094,1.3613,0.1228,0.0027,3.5787,15.0668,200,0.0571
20.0094,1.3692,0.1229,0.0036,3.6799,14.9567,200,0.0571
20.0095,1.3692,0.1234,0.0036,3.9619,14.6748,200,0.0572
20.0095,1.3428,0.1244,0.0045,5.0284,13.6338,200,0.0572
20.0094,1.3729,0.1271,0.0279,5.0056,13.6030,200,0.0574
20.0094,1.3731,0.1280,0.0279,4.5480,14.0603,200,0.0574
20.0094,1.3675,0.1319,0.0036,3.7744,14.8640,200,0.0575
20.0095,1.3730,0.1320,0.0279,3.8270,14.7815,200,0.0575
20.0095,1.3727,0.1321,0.0279,3.9485,14.6604,200,0.0576
20.0033,1.3552,0.1294,0.0025,3.3587,15.2868,200,0.0641
20.0099,1.3855,0.1325,0.0046,3.7517,14.8680,200,0.0577
20.0115,1.3729,0.1324,0.0280,3.7190,14.8915,200,0.0580
20.0117,1.3679,0.1324,0.0036,3.6042,15.0360,200,0.0580
20.0119,1.3749,0.1324,0.0018,3.3147,15.3205,200,0.0581
20.0121,1.3802,0.1324,0.0021,3.3697,15.2600,200,0.0581
20.0122,1.3603,0.1324,0.0026,3.4269,15.2224,200,0.0582
20.0124,1.3792,0.1324,0.0252,3.6171,14.9908,200,0.0582
20.0129,1.3726,0.1324,0.0280,3.2536,15.3587,200,0.0583
20.0129,1.3479,0.1324,0.0138,3.5543,15.0969,200,0.0584
20.0130,1.3987,0.1058,0.0025,3.7657,14.8460,200,0.0585
20.0130,1.4045,0.1190,0.0017,3.8000,14.8068,200,0.0585
20.0131,1.3676,0.1323,0.0036,3.3811,15.2607,200,0.0586
20.0131,1.3721,0.1323,0.0280,3.5197,15.0933,200,0.0586
20.0131,1.3644,0.1322,0.0038,3.5471,15.0978,200,0.0588
20.0131,1.3671,0.1322,0.0036,3.1091,15.5333,200,0.0588
20.0131,1.3956,0.1322,0.0023,3.5723,15.0430,200,0.0589
20.0132,1.3987,0.1322,0.0024,3.3847,15.2273,200,0.0589
20.0132,1.3717,0.1322,0.0280,4.2488,14.3647,200,0.0590
20.0132,1.3954,0.1321,0.0023,3.5295,15.0860,200,0.0590
20.0132,1.3662,0.1321,0.0036,3.4584,15.1850,200,0.0591
20.0132,1.3797,0.1321,0.0022,3.1298,15.5015,200,0.0592
20.0132,1.3950,0.1320,0.0023,3.7856,14.8304,200,0.0592
20.0132,1.3667,0.1320,0.0036,4.2016,14.4413,200,0.0594
20.0132,1.3648,0.1319,0.0036,3.2540,15.3907,200,0.0594
20.0132,1.3418,0.1319,0.0045,3.2540,15.4130,200,0.0594
20.0132,1.3791,0.1318,0.0022,3.2377,15.3942,200,0.0596
20.0132,1.3795,0.1318,0.0023,3.4144,15.2169,200,0.0596
20.0132,1.3721,0.1318,0.0289,3.2759,15.3363,200,0.0597
20.0132,1.3639,0.1317,0.0038,3.5874,15.0581,200,0.0597
20.0132,1.4030,0.1317,0.0019,3.9620,14.6463,200,0.0598
20.0132,1.3646,0.1317,0.0036,4.2772,14.3678,200,0.0598
20.0132,1.3636,0.1317,0.0039,3.1391,15.5066,200,0.0599
